bvid,pubdate,live_date,duration,cover,title
BV1pj41147BV,2023-10-04,2023-10-03,168:30,https://i0.hdslb.com/bfs/archive/295fb8a9f3810cd3fe6440efd9a411741564acb8.jpg,女流-2023.10.3-糖豆人
BV1Yj411477Y,2023-10-04,2023-10-01,116:18,https://i0.hdslb.com/bfs/archive/c785091f2d8dffc5a6bdb8942f33db097c2e1243.jpg,P2-女流-2023.10.1-心灵砒霜弹幕版
BV1G94y1a7zb,2023-10-04,2023-10-01,116:17,https://i0.hdslb.com/bfs/archive/1b7737b04640f82d6108ea797abfe605192f93d5.jpg,P1-女流-2023.10.1-心灵砒霜弹幕版
BV1fN411E75Y,2023-10-03,2023-10-02,406:18,https://i0.hdslb.com/bfs/archive/3ffa81997e404f24bcfeba8b7a8cb0aec717eab1.jpg,女流-2023.10.2-Tricky Towers
BV118411C79T,2023-10-02,2023-10-01,232:33,https://i0.hdslb.com/bfs/archive/6e6cb0f5c01de04ad49507c7351454278b8961cb.jpg,女流-2023.10.1-心灵砒霜
BV1Du4y147DN,2023-09-30,2023-09-30,300:21,https://i0.hdslb.com/bfs/archive/aa00de77f6b0409a9d19bba2f8ea8941bc4cd76d.jpg,女流-2023.9.30-卧龙 称霸江东
BV1iV411w7vd,2023-09-29,2023-09-29,24:09,https://i0.hdslb.com/bfs/archive/295fb8a9f3810cd3fe6440efd9a411741564acb8.jpg,女流-2023.9.29-糖豆人
BV1P94y1Y7Ps,2023-09-29,2023-09-29,155:17,https://i0.hdslb.com/bfs/archive/4f83b1c0cd7efccec3149df7e419a5b6ebfa6930.jpg,P1-女流-2023.9.29-跑跑卡丁车
BV1K84y1S7Np,2023-09-29,2023-09-29,35:32,https://i0.hdslb.com/bfs/archive/4f83b1c0cd7efccec3149df7e419a5b6ebfa6930.jpg,P2-女流-2023.9.29-跑跑卡丁车
BV1sC4y1f7HU,2023-09-28,2023-09-28,255:37,https://i0.hdslb.com/bfs/archive/a0691da75e7806a701508c7c014c995891469c09.jpg,女流-2023.9.28-地铁繁花
BV1vj41187KE,2023-09-27,2023-09-26,234:24,https://i0.hdslb.com/bfs/archive/0f64bc7233ed348e4c5fc6e548a5f95ff141bf67.jpg,P1-女流-2023.9.26-赛博朋克2077
BV1Vm4y1V7hB,2023-09-27,2023-09-26,234:25,https://i0.hdslb.com/bfs/archive/0f64bc7233ed348e4c5fc6e548a5f95ff141bf67.jpg,P2-女流-2023.9.26-赛博朋克2077
BV16C4y1Z7Fc,2023-09-25,2023-09-24,407:08,https://i0.hdslb.com/bfs/archive/930e0a4e5729d202da08da29fc115220166b75e7.jpg,女流-2023.9.24-新出道女歌手
