date,weekday,status,archive_entries,entry_titles,evidence,bounded_recordings_possible,note
2015-06-06,周六,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-06-07,周日,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-06-08,周一,bounded-window,,,,优酷 逃脱方块：四季（2015-06-20-video-02 的母场）,
2015-06-20,周六,video-only,"2015-06-20-video-01(video,replay);2015-06-20-video-02(video,replay)",【女流】辐射：避难所解说，变异巨型大蟑螂乱入;【解密佳作】逃脱方块：四季女流直播录像,,,
2015-06-23,周二,entry-with-replay,"2015-06-23-live-01(live,replay)",Life is Strange奇异人生,录屏者任务栏 17:26 / 18:21 / 18:47「2015/6/23」（BV1px411E7rA P1～P3），原记 06-24,,
2015-06-24,周三,reported-or-probable,,,08-11 读档面板：奇异人生第三章存档日期 24/6/2015,ac2007546 蝙蝠侠（06-27 那场所说「昨天」或更早的开局段落）,原 06-24 条目经画面时钟改记 06-23；第三章存档写于 06-24，当天可能又播过第三章，无录像
2015-06-25,周四,bounded-window,,,,ac2007546 蝙蝠侠（06-27 那场所说「昨天」或更早的开局段落）,
2015-06-26,周五,bounded-window,"2015-06-26-video-01(video,replay)",【女流】关掉游戏我双眼就瞎了：雷曼传奇音乐关卡一命通关,,ac2007546 蝙蝠侠（06-27 那场所说「昨天」或更早的开局段落）,
2015-06-27,周六,entry-with-replay,"2015-06-27-live-01(live,replay)",蝙蝠侠：阿卡姆骑士,bilibili 孤独时代的Fluctlight「女流66 20150626 直播录像」277 分钟 | PS4 时钟 AM7:05（UTC）晚于存档 2015/6/26 8:24 PM 与好友通知 6/26 5:52 PM → 北京时间 06-27 15 点（上传者标题的 0626 以画面为准）,,
2015-06-29,周一,entry-with-replay,"2015-06-29-live-01(live,replay)",逃脱方块：哈维的盒子,ac1996935 画面时钟 18:03～18:10 2015/6/29,,
2015-06-30,周二,entry-with-replay,"2015-06-30-live-01(live,replay)",直播标题已遗失,tieba 4210213879 截图者时钟 13:32 2015/06/30，红 T 恤,,
2015-07-04,周六,entry-with-replay,"2015-07-04-live-01(live,replay)",鱼塘星音乐 第三轮第三场 女流&超级小桀,,,
2015-07-05,周日,entry-with-replay,"2015-07-05-live-01(live,replay)",心灵砒霜,,,
2015-07-06,周一,entry-no-replay,"2015-07-06-live-01(live,clip)",造完飞机去找狗,room-snapshot 2015-07-07 01:29 thumb 2015-07-06 18:58 | acfun ac2010055 Besiege 直播片段（07-07 投稿）,,
2015-07-09,周四,live-confirmed-no-entry,,,room-snapshot 2015-07-10 05:10 thumb 2015-07-09 19:29 | room-snapshot 2015-07-10 06:30 thumb 2015-07-09 19:29,,
2015-07-10,周五,entry-no-replay,"2015-07-10-live-01(live,no-replay)",今天就是要找一只狗,listing /directory/isgame 15:58 「今天就是要找一只狗」,优酷 武则天MC精剪01 主段（「今天…要找一只狗」，strongly supported）,
2015-07-12,周日,entry-with-replay,"2015-07-12-live-01(live,replay)",心灵砒霜,,,
2015-07-13,周一,entry-no-replay,"2015-07-13-live-01(live,no-replay)",交出你手上的钻石镐,listing /directory/all 14:56 「交出你手上的钻石镐」,,
2015-07-16,周四,entry-with-replay,"2015-07-16-live-01(live,replay)",心灵砒霜,room-snapshot 2015-07-17 07:54 thumb 2015-07-16 21:29 | room-snapshot 2015-07-17 09:06 thumb 2015-07-16 21:29 | room-snapshot 2015-07-17 10:33 thumb 2015-07-16 21:29,,
2015-07-17,周五,entry-no-replay,"2015-07-17-live-01(live,no-replay)",我活着回来了,listing homepage 15:53 「我活着回来了」 | listing /directory/all 17:09 「我活着回来了」 | tieba 3900753504 15:48 今天是什么节奏（截图）,,
2015-07-18,周六,reported-or-probable,,,tieba 3902996196 16:45 睡过了。。晚上八点直播（未证实开播）,,
2015-07-19,周日,entry-with-replay,"2015-07-19-live-01(live,replay)",心灵砒霜,,,
2015-07-22,周三,entry-with-replay,"2015-07-22-live-01(live,replay)",风之旅人,tieba 3912624992 16:40 风之旅人同时直播,,
2015-07-23,周四,video-only,"2015-07-23-video-01(video,replay)",球球大作战~女流手游试玩,,,
2015-07-26,周日,entry-with-replay,"2015-07-26-live-01(live,replay)",心灵砒霜,tieba 3923980280 07-27 昨天小杰自己带节奏,,
2015-07-28,周二,entry-with-replay,"2015-07-28-live-01(live,replay)",第一届女流杯建筑大赛,tieba 3927603508 20:02 设计大赛; 3928084172 23:23 今天皮卡丘像素画,,
2015-07-29,周三,hiatus,,,,,ChinaJoy 上海
2015-07-30,周四,hiatus,,,,,ChinaJoy 上海
2015-07-31,周五,reported-or-probable,,,youku 广晴空播单「斗鱼tv女流66（6女神）2015.7.31晚展示自己在2015China joy收到的礼物」（已屏蔽，未证实是直播）,,ChinaJoy 上海；当晚可能有一段展示礼物的直播或视频
2015-08-01,周六,hiatus,,,,,ChinaJoy 上海
2015-08-02,周日,hiatus,,,,,ChinaJoy 上海
2015-08-03,周一,entry-no-replay,"2015-08-03-live-01(live,no-replay)",大周还认不认我这个王,listing homepage 16:19 「大周还认不认我这个王」 | tieba 3942526338 20:45 藏猫猫; 3942541266 服务器,优酷 第二届女流杯建筑大赛,
2015-08-04,周二,entry-with-replay,"2015-08-04-live-01(live,replay)",科隆游戏展 微软发布会,,优酷 第二届女流杯建筑大赛,
2015-08-05,周三,bounded-window,,,,优酷 第二届女流杯建筑大赛,
2015-08-06,周四,bounded-window,,,,优酷 第二届女流杯建筑大赛,
2015-08-09,周日,entry-with-replay,"2015-08-09-live-01(live,replay)",心灵砒霜,,,
2015-08-11,周二,entry-with-replay,"2015-08-11-live-01(live,replay)",Life is Strange奇异人生,,,
2015-08-12,周三,entry-with-replay,"2015-08-12-live-01(live,replay)",物理满分 不服来辩 Poly Bridge,tieba 3966957920/3967041155 17:37–19:24 前男友、昨晚哭了,,
2015-08-13,周四,video-only,"2015-08-13-video-01(video,replay)",herstory第一集配音,,,
2015-08-15,周六,reported-or-probable,,,tieba 3970115735 20:03 提醒下66开直播了（周六，单条，未证实）,,
2015-08-16,周日,entry-with-replay,"2015-08-16-live-01(live,replay)",心灵砒霜,tieba 3978744921 08-17 昨天下午,,
2015-08-17,周一,live-confirmed-no-entry,,,room-snapshot 2015-08-18 11:35 thumb 2015-08-17 18:35 | room-snapshot 2015-08-18 11:48 thumb 2015-08-17 18:35 | tieba 3979264933 17:47 学了一下午,,
2015-08-18,周二,video-only,"2015-08-18-video-01(video,replay)",【女流】HER STORY ★她的故事★全剧情流程赏析Part 2,,,
2015-08-19,周三,entry-no-replay,"2015-08-19-live-01(live,no-replay)",感觉不是很妙,listing homepage 18:36 「感觉不是很妙」 | tieba 3984090481 16:15 现在直播的这个→无尽梦魇,,
2015-08-20,周四,entry-with-replay,"2015-08-20-live-01(live,replay);2015-08-20-live-02(live,replay)",风之旅人;第三届女流杯建筑大赛,tieba 七夕风之旅人帖,,
2015-08-21,周五,entry-no-replay,"2015-08-21-live-01(live,no-replay)",土木工程专业错失人才,room-snapshot 2015-08-23 08:47 thumb 2015-08-21 17:50 | room-snapshot 2015-08-25 09:09 thumb 2015-08-21 17:50 | tieba 3999137934 女流日常-8月21日 paly bridge,,
2015-08-22,周六,no-stream,,,,,task-040：08-22～08-25 可证明未开播（上海）
2015-08-23,周日,no-stream,,,,,同上
2015-08-24,周一,no-stream,,,,,同上
2015-08-25,周二,no-stream,,,,,同上
2015-08-27,周四,entry-no-replay,"2015-08-27-live-01(live,no-replay)",PT寂静岭,room-snapshot 2015-08-28 13:58 thumb 2015-08-27 21:30 | tieba 4005262163 08-28 pt这游戏不适合66,,
2015-08-28,周五,reported-or-probable,,,tieba 4008992989 求中元节那天（08-28）寂静岭录像（与 08-27 快照差一天，未证实）,,
2015-08-30,周日,entry-no-replay,"2015-08-30-live-01(live,no-replay)",心灵砒霜,room-snapshot 2015-08-31 12:28 thumb 2015-08-30 21:56 | tieba 4029553720 心灵砒霜8月30号×2; 4009692782 16:07 现在的bgm,,
2015-08-31,周一,entry-no-replay,"2015-08-31-live-01(live,no-replay)",我的世界,tieba 4012820107 09-01 00:35 今天的mc直播有人录嘛（抽人）,,
2015-09-01,周二,reported-or-probable,,,tieba 4014163837 17:34 推荐66用橘黄色燃料桶（坎巴拉太空计划，未证实当日开播）,,
2015-09-02,周三,entry-no-replay,"2015-09-02-live-01(live,no-replay)",药是甜的,room-snapshot 2015-09-03 10:07 thumb 2015-09-02 19:28 | tieba 4016496912 19:35 今天女流播的恐怖游戏→Fran bow,,
2015-09-03,周四,live-confirmed-no-entry,,,tieba 3890035389 19:15 求今天直播5点40多的歌,,
2015-09-04,周五,entry-with-replay,"2015-09-04-live-01(live,replay);2015-09-04-video-01(video,replay)",第四届MC女流杯建筑大赛;【女流】HER STORY ★她的故事★全剧情流程赏析Part 3,room-snapshot 2015-09-06 07:22 thumb 2015-09-04 17:51 | room-snapshot 2015-09-08 20:17 thumb 2015-09-04 17:51,,
2015-09-05,周六,hiatus,,,,,09-09 开场自述「从今天开始就恢复直播了」「上周日没有直播」
2015-09-06,周日,hiatus,,,,,09-09 开场自述「从今天开始就恢复直播了」「上周日没有直播」
2015-09-07,周一,video-only,"2015-09-07-video-01(video,replay)",【女流】HER STORY ★她的故事★全剧情流程赏析Part 4（完结）,,,09-09 开场自述「从今天开始就恢复直播了」「上周日没有直播」
2015-09-08,周二,hiatus,,,,,09-09 开场自述「从今天开始就恢复直播了」「上周日没有直播」
2015-09-09,周三,entry-with-replay,"2015-09-09-live-01(live,replay);2015-09-09-live-02(live,replay)",心灵砒霜;锈湖：磨坊、橙光小游戏,tieba 4021203362 09-10 我昨天发了（砒霜邮件） | acfun 萌得激死 ac2188498「9月9日直播 全程录像」145 分钟（下午场；《我的老师是只熊》出自此场）,,
2015-09-10,周四,entry-with-replay,"2015-09-10-live-01(live,replay)",心灵砒霜,acfun 萌得激死 ac2189813 154 分钟整场 | Medieval Engineers 世界名「Quickstart 2015-09-10 15:42」,,
