account,bvid,live_date,capture_window,title,pubdate,parts,duration_min,disposition,entries,note
bili-fan-zytau,BV1PL411d72h,2023-03-18,2023-03-18 13:01→2023-03-18 18:08,[2023-03-18 13-01-31][女流66][156277直播间],2023-03-19 01:58,1,307,source-existing,2023-03-18-live-01,
bili-fan-kassytan,BV1q24y1x7su,2023-03-19,2023-03-19 13:23→2023-03-19 14:40,【女流66】直播回放2023-03-19,2023-03-19 17:22,3,77,source-existing,2023-03-19-live-01,
bili-fan-kassytan,BV1ms4y1H7qK,2023-03-19,2023-03-19 16:28→2023-03-19 17:53,【女流66】直播回放2023-03-19,2023-03-19 20:55,3,84,source-existing,2023-03-19-live-01,
bili-fan-kassytan,BV1jX4y1Z7so,2023-03-19,2023-03-19 18:41→2023-03-19 19:09,【女流66】直播回放2023-03-19,2023-03-19 20:16,1,27,partial-or-highlight,2023-03-19-live-01,03-19 仅 18:41—19:09 的 27 分钟碎片，已被 Zytau BV1Hc411j7Jt 覆盖
bili-fan-zytau,BV1Hc411j7Jt,2023-03-19,2023-03-19 13:20→2023-03-19 19:08,[2023-03-19 13-20-12][女流66][【钻粉2.5倍】陪你下午茶],2023-03-20 02:11,1,348,already-attached,2023-03-19-live-01,本轮之前已挂
bili-fan-kassytan,BV19s4y1n7NY,2023-03-21,2023-03-21 12:36→2023-03-21 17:47,【女流66】直播回放2023-03-22,2023-03-22 07:37,11,310,source-existing,2023-03-21-live-01,投稿标题写 2023-03-22，但分P 文件名录制时刻为 2023-03-21，按录制时刻记。
bili-fan-zytau,BV1gN411K7Pv,2023-03-21,2023-03-21 12:34→2023-03-21 19:15,[2023-03-21 12-34-45][女流66][【女流】156277直播间],2023-03-22 19:21,1,400,already-attached,2023-03-21-live-01,本轮之前已挂
bili-fan-kassytan,BV1pc411L7hc,2023-03-24,2023-03-24 12:57→2023-03-24 18:30,【女流66】直播回放2023-03-24,2023-03-24 20:38,11,333,source-existing,2023-03-24-live-01,
bili-fan-zytau,BV1Nc411L76s,2023-03-24,2023-03-24 13:01→2023-03-24 14:00,[2023-03-24 13-01-23][女流66][周五有六^_^1点提前来],2023-03-24 15:43,1,59,partial-or-highlight,2023-03-24-live-01,03-24 开头 59 分钟提前投稿，已被 KassyTan BV1pc411L7hc 完整覆盖
bili-fan-kassytan,BV11m4y167a8,2023-03-25,2023-03-25 12:02→2023-03-25 18:37,【女流66】直播回放2023-03-25,2023-03-25 22:57,12,364,source-existing,2023-03-25-live-01,
bili-fan-zytau,BV1vm4y167Gv,2023-03-25,2023-03-25 12:00→2023-03-25 18:38,[2023-03-25 12-00-41][女流66][12点来继续clear],2023-03-26 01:52,2,381,source-existing,2023-03-25-live-01,
bili-fan-kassytan,BV1LY4y1S72A,2023-03-26,2023-03-26 12:06→2023-03-26 18:53,【女流66】直播回放2023-03-26,2023-03-26 20:55,14,407,source-existing,2023-03-26-live-01,
bili-fan-zytau,BV1GN411T7FD,2023-03-26,2023-03-26 12:05→2023-03-26 18:53,[2023-03-26 12-05-02][女流66][【钻粉2.5倍】继续clear],2023-03-27 02:59,2,393,source-existing,2023-03-26-live-01,
bili-fan-kassytan,BV1QT411q7vE,2023-03-28,2023-03-28 13:37→2023-03-28 21:27,【女流66】直播回放2023-03-29,2023-03-29 11:13,16,470,source-existing,2023-03-28-live-01,投稿标题写 2023-03-29，但分P 文件名录制时刻为 2023-03-28，按录制时刻记。
bili-fan-zytau,BV11o4y1W7UF,2023-03-28,2023-03-28 13:34→2023-03-28 21:27,[2023-03-28 13-34-45][女流66][【女流】156277直播间],2023-03-29 02:18,2,457,already-attached,2023-03-28-live-01,本轮之前已挂
bili-fan-kassytan,BV1oX4y1R7Pu,2023-03-29,2023-03-29 15:16→2023-03-29 19:36,【女流66】直播回放2023-03-29,2023-03-29 21:21,9,260,source-existing,2023-03-29-live-01|2023-03-29-live-02,整场录像跨越本日多个条目，本条目对应其中一段：2023-03-29-live-01、2023-03-29-live-02。
bili-fan-zytau,BV1hN411N7dq,2023-03-29,2023-03-29 15:24→2023-03-29 19:36,[2023-03-29 15-24-32][女流66][下午好呀大伙],2023-03-30 15:21,1,251,source-existing,2023-03-29-live-01|2023-03-29-live-02,整场录像跨越本日多个条目，本条目对应其中一段：2023-03-29-live-01、2023-03-29-live-02。
bili-fan-kassytan,BV1fM411K7Mi,2023-04-01,2023-04-01 13:30→2023-04-01 19:15,【女流66】直播回放2023-04-01,2023-04-01 21:06,12,345,source-existing,2023-04-01-live-01,
bili-fan-zytau,BV1xs4y1U7ph,2023-04-01,2023-04-01 13:28→2023-04-01 19:16,[2023-04-01 13-28-45][女流66][周六直播间见],2023-04-02 01:19,2,331,source-existing,2023-04-01-live-01,
