date,game,is_show,ac_ids,count,titles
2017-01-13,年会,False,3405022,3404474,2,女流-1.13-年会-part1 | 女流-1.13-年会-part2
2017-01-15,心灵砒霜,True,3410716,3407191,2,女流-1.15-心灵砒霜-弹幕版 | 女流-1.15-心灵砒霜
2017-01-16,Move or Die,False,3409502,1,女流-1.16-Move or Die
2017-01-17,战斗方块剧场,False,3412287,1,女流-1.17-战斗方块剧场
2017-01-18,几何冲刺,False,3415692,1,女流-1.18-几何冲刺
2017-01-18,王权,False,3415701,1,女流-1.18-王权
2017-01-20,两周年彩排？！,False,3422132,3420412,2,女流-1.20-两周年彩排？！-弹幕版 | 女流-1.20-两周年彩排？！
2017-01-21,直播2周年,False,3422739,3422592,2,女流-1.21-直播2周年-英雄联盟-part2 | 女流-1.21-直播2周年-英雄联盟-part1
2017-01-22,心灵砒霜,True,3429201,3424548,2,女流-1.22-心灵砒霜-弹幕版 | 女流-1.22-心灵砒霜
2017-01-25,事已至此案发现场？！,False,3431422,1,女流-1.25-事已至此案发现场？！
2017-01-26,可乐鸡翅,False,3432913,1,女流-1.26-可乐鸡翅
2017-01-26,维尼噗,False,3432740,1,女流-1.26-维尼噗
2017-01-27,我画你猜,False,3435002,1,女流-1.27-我画你猜
2017-01-29,82年的雪碧会上头,False,3437161,1,女流-1.29-82年的雪碧会上头
2017-02-04,春节期间不定期直播,False,3447881,1,女流-2.4-春节期间不定期直播
2017-02-05,大明塔,False,3449327,1,女流-2.5-大明塔
2017-02-06,汗蒸的时候不要喝菊花茶,False,3452264,1,女流-2.6-汗蒸的时候不要喝菊花茶
2017-02-08,小猫钓鱼(Cat Goes Fishing),False,3457776,1,女流-2.8-小猫钓鱼(Cat Goes Fishing)
2017-02-08,黑暗之魂3,False,3457748,1,女流-2.8-黑暗之魂3-PVP
2017-02-09,小猫钓鱼(Cat Goes Fishing),False,3460648,1,女流-2.9-小猫钓鱼(Cat Goes Fishing)
2017-02-09,心灵砒霜,True,3467198,3460649,2,女流-2.9-心灵砒霜-弹幕版 | 女流-2.9-心灵砒霜
2017-02-10,小猫钓鱼(Cat Goes Fishing),False,3462913,1,女流-2.10-小猫钓鱼(Cat Goes Fishing)
2017-02-11,小猫钓鱼(Cat Goes Fishing),False,3464926,1,女流-2.11-小猫钓鱼(Cat Goes Fishing)
2017-02-13,科目2练习day,False,3468648,1,女流-2.13-科目2练习day-1
2017-02-14,科目2练习day,False,3471359,1,女流-2.14-科目2练习day-2
2017-02-16,几何冲刺(Geometry Dash),False,3478890,1,女流-2.16-几何冲刺(Geometry Dash)
2017-02-17,没错还是几何冲刺(Geometry Dash),False,3481423,1,女流-2.17-没错还是几何冲刺(Geometry Dash)
2017-02-18,Kalimba 和 The Vanishing of Ethan Carter,False,3484443,1,女流-2.18-Kalimba 和 The Vanishing of Ethan Carter
2017-02-20,心灵砒霜,True,3491948,3489721,2,女流-2.20-心灵砒霜-弹幕版 | 女流-2.20-心灵砒霜
2017-02-21,上高铁前在猴山,False,3491355,1,女流-2.21-上高铁前在猴山
2017-02-22,短暂的2月啊,False,3493972,1,女流-2.22-短暂的2月啊
2017-02-23,做头发,False,3497214,1,女流-2.23-做头发
2017-03-01,伊森卡特的消失,False,3514575,3512563,2,女流-3.1-伊森卡特的消失-完结篇 | 女流-3.1-伊森卡特的消失
2017-03-03,Hidden Folks,False,3518038,1,女流-3.3-Hidden Folks
2017-03-04,热血物语：地下世界,False,3520053,1,女流-3.4-热血物语：地下世界
2017-03-05,心灵砒霜,True,3526345,3521571,2,女流-3.5-心灵砒霜-弹幕版 | 女流-3.5-心灵砒霜
2017-03-07,塞尔达传说,False,3526301,1,女流-3.7-塞尔达传说-荒野之息
2017-03-13,塞尔达传说,False,3545359,1,女流-3.13-塞尔达传说-荒野之息
2017-03-14,塞尔达传说,False,3547680,3547651,2,女流-3.14-塞尔达传说-荒野之息-晚上 | 女流-3.14-塞尔达传说-荒野之息
2017-03-15,chi66诞生记？！,False,3550581,1,女流-3.15-chi66诞生记？！
2017-03-15,塞尔达传说,False,3550686,1,女流-3.15-塞尔达传说
2017-03-16,塞尔达传说+LOL,False,3553718,1,女流-3.16-塞尔达传说+LOL
2017-03-17,塞尔达传说,False,3555112,1,女流-3.17-塞尔达传说
2017-03-18,塞尔达传说,False,3563645,1,女流-3.18-塞尔达传说
2017-03-19,1，2switch,False,3561618,1,女流-3.19-1，2switch
2017-03-20,户外直播,False,3564094,1,女流-3.20-户外直播
2017-03-22,砒霜兼索尼2周年户外~,False,3566723,1,女流-3.22-砒霜兼索尼2周年户外~
2017-03-24,rusty lake新章节和塞尔达,False,3572214,1,女流-3.24-rusty lake新章节和塞尔达
2017-03-25,塞尔达传说,False,3574522,1,女流-3.25-塞尔达传说
2017-03-26,心灵砒霜,True,3584867,3576613,2,女流-3.26-心灵砒霜-弹幕版 | 女流-3.26-心灵砒霜
2017-03-29,黑暗之魂3DLC2,False,3587442,1,女流-3.29-黑暗之魂3DLC2
2017-03-30,黑暗之魂3DLC2,False,3591061,3590477,2,女流-3.30-黑暗之魂3DLC2-part2 | 女流-3.30-黑暗之魂3DLC2-part1
2017-04-01,剪剪世界,False,3593776,1,女流-4.1-剪剪世界
2017-04-02,12switch,False,3595208,1,女流-4.2-12switch
